_input,_num,_widgetName,_source,_resultNumber,_pageUrl,trade1,trade2,molecule,category,patent,dose
,27,drug_info,drug_info,27,http://www.goodrx.com/vasotec,Vasotec,,(enalapril),ACE Inhibitors,generic,30 tablets of enalapril 20mg
,28,drug_info,drug_info,28,http://www.goodrx.com/catapres,Catapres,,(clonidine),Central Alpha Agonists,generic,60 tablets of clonidine 0.1mg
,29,drug_info,drug_info,29,http://www.goodrx.com/lotrel,Lotrel,,(amlodipine / benazepril),Calcium Channel Blocker / ACE Inhibitor Combinations,generic,30 capsules of amlodipine / benazepril 5mg/20mg
,30,drug_info,drug_info,30,http://www.goodrx.com/aldactone,Aldactone,,(spironolactone),Aldosterone Antagonists,generic,30 tablets of spironolactone 25mg
,31,drug_info,drug_info,31,http://www.goodrx.com/lasix,Lasix,,(furosemide),Loop Diuretics,generic,30 tablets of furosemide 20mg
,32,drug_info,drug_info,32,http://www.goodrx.com/hydrodiuril,,,(hydrochlorothiazide),Thiazide Diuretics,generic,30 capsules of hydrochlorothiazide 12.5mg
,33,drug_info,drug_info,33,http://www.goodrx.com/hydrochlorothiazide,hydrochlorothiazide,,(Hydrodiuril Microzide Oretic Esidrix),Thiazide Diuretics,generic,30 capsules of hydrochlorothiazide 12.5mg
,34,drug_info,drug_info,34,http://www.goodrx.com/maxzide,Maxzide,,(triamterene / HCTZ),Thiazide / Potassium-Sparing Diuretic Combinations,generic,30 tablets of triamterene / HCTZ 37.5mg/25mg
,35,drug_info,drug_info,35,http://www.goodrx.com/verapamil,verapamil,,(Isoptin Calan),Calcium Channel Blockers,generic,90 tablets of verapamil 80mg
,36,drug_info,drug_info,36,http://www.goodrx.com/diovan,Diovan,,(valsartan),ARBs,generic,30 tablets of valsartan 160mg
,37,drug_info,drug_info,37,http://www.goodrx.com/trandolapril,trandolapril,,(Mavik),ACE Inhibitors,generic,30 tablets of trandolapril 4mg
,38,drug_info,drug_info,38,http://www.goodrx.com/losartan,losartan,,(Cozaar),ARBs,generic,30 tablets of losartan 50mg
,39,drug_info,drug_info,39,http://www.goodrx.com/sinequan,,,(doxepin),Tricyclic Antidepressants,generic,30 capsules of doxepin 10mg
,40,drug_info,drug_info,40,http://www.goodrx.com/tofranil,Tofranil,,(imipramine hydrochloride),Tricyclic Antidepressants,generic,60 tablets of imipramine hydrochloride 50mg
,41,drug_info,drug_info,41,http://www.goodrx.com/wellbutrin,Wellbutrin,,(bupropion),Atypical Antidepressants,generic,60 tablets of bupropion 75mg
,42,drug_info,drug_info,42,http://www.goodrx.com/effexor,,,(venlafaxine),SNRIs,generic,60 tablets of venlafaxine 75mg
,43,drug_info,drug_info,43,http://www.goodrx.com/prozac,Prozac,,(fluoxetine),SSRIs,generic,30 capsules of fluoxetine 20mg
,44,drug_info,drug_info,44,http://www.goodrx.com/celexa,Celexa,,(citalopram),SSRIs,generic,30 tablets of citalopram 20mg
,45,drug_info,drug_info,45,http://www.goodrx.com/pristiq,Pristiq,,,SNRIs,brand,30 tablets of Pristiq 50mg
,46,drug_info,drug_info,46,http://www.goodrx.com/amitid,,,(amitriptyline),Tricyclic Antidepressants,generic,30 tablets of amitriptyline 25mg
,47,drug_info,drug_info,47,http://www.goodrx.com/pamelor,Pamelor,,(nortriptyline),Tricyclic Antidepressants,generic,30 capsules of nortriptyline 10mg
,48,drug_info,drug_info,48,http://www.goodrx.com/cymbalta,Cymbalta,,(duloxetine),SNRIs,generic,30 capsules of duloxetine 60mg
,49,drug_info,drug_info,49,http://www.goodrx.com/lexapro,Lexapro,,(escitalopram),SSRIs,generic,30 tablets of escitalopram 10mg
,50,drug_info,drug_info,50,http://www.goodrx.com/desyrel,,,(trazodone),Atypical Antidepressants,generic,30 tablets of trazodone 50mg
,51,drug_info,drug_info,51,http://www.goodrx.com/remeron,Remeron,,(mirtazapine),Atypical Antidepressants,generic,30 tablets of mirtazapine 15mg
,52,drug_info,drug_info,52,http://www.goodrx.com/abilify,Abilify,,(aripiprazole),Atypical Antipsychotics,generic,30 tablets of aripiprazole 5mg
,53,drug_info,drug_info,53,http://www.goodrx.com/zoloft,Zoloft,,(sertraline),SSRIs,generic,30 tablets of sertraline 100mg
,54,drug_info,drug_info,54,http://www.goodrx.com/paxil,Paxil,,(paroxetine),SSRIs,generic,30 tablets of paroxetine 20mg
,55,drug_info,drug_info,55,http://www.goodrx.com/testosterone,testosterone,,(Androgel Vogelxo Testim Fortesta),Androgens,,30 tubes
,56,drug_info,drug_info,56,http://www.goodrx.com/finasteride,finasteride,,(Propecia Proscar),5-Alpha Reductase Inhibitors,generic,30 tablets of finasteride 5mg
,57,drug_info,drug_info,57,http://www.goodrx.com/doxazosin,doxazosin,,(Cardura),Alpha Blockers,generic,30 tablets of doxazosin 4mg
,58,drug_info,drug_info,58,http://www.goodrx.com/amoxicillin,amoxicillin,,(Amoxil),Penicillin Antibiotics,generic,30 capsules of amoxicillin 500mg
,59,drug_info,drug_info,59,http://www.goodrx.com/tramadol,tramadol,,(Ultram),Opioids,generic,120 tablets of tramadol 50mg
,60,drug_info,drug_info,60,http://www.goodrx.com/zocor,Zocor,,(simvastatin),Statins,generic,30 tablets of simvastatin 20mg
,61,drug_info,drug_info,61,http://www.goodrx.com/phenobarbital,phenobarbital,,(Luminal),Barbiturates,generic,60 tablets of phenobarbital 64.8mg
,62,drug_info,drug_info,62,http://www.goodrx.com/trifexis,Trifexis,,(spinosad and milbemycin),,,1 package
,63,drug_info,drug_info,63,http://www.goodrx.com/metacam,Metacam,,,,,1 bottle
,64,drug_info,drug_info,64,http://www.goodrx.com/previcox,Previcox,,(firocoxib),,brand,60 chewable tablets of Previcox 227mg
,65,drug_info,drug_info,65,http://www.goodrx.com/gabapentin,gabapentin,,(Neurontin),Anti-epileptics,generic,90 capsules of gabapentin 300mg
,66,drug_info,drug_info,66,http://www.goodrx.com/fluoxetine,fluoxetine,,(Prozac),SSRIs,generic,30 capsules of fluoxetine 20mg
,67,drug_info,drug_info,67,http://www.goodrx.com/clomicalm,Clomicalm,,,,brand,30 tablets of Clomicalm 20mg
,68,drug_info,drug_info,68,http://www.goodrx.com/diazepam,diazepam,,(Valium),Benzodiazepines,generic,60 tablets of diazepam 5mg
,69,drug_info,drug_info,69,http://www.goodrx.com/deramaxx,Deramaxx,,(deracoxib),,brand,90 chewable tablets of Deramaxx 25mg
,70,drug_info,drug_info,70,http://www.goodrx.com/acepromazine,acepromazine,,,,generic,1 tablet of acepromazine 10mg
,71,drug_info,drug_info,71,http://www.goodrx.com/vetsulin,Vetsulin,,,,,1 vial
,72,drug_info,drug_info,72,http://www.goodrx.com/easyspot,Easyspot,,,,,1 package of Easyspot 3 doses
,73,drug_info,drug_info,73,http://www.goodrx.com/prozinc,Prozinc,,,,,1 vial
,74,drug_info,drug_info,74,http://www.goodrx.com/rimadyl,Rimadyl,,(carprofen),,generic,180 tablets of carprofen 100mg
,75,drug_info,drug_info,75,http://www.goodrx.com/onsior,Onsior,,,,brand,1 package
,76,drug_info,drug_info,76,http://www.goodrx.com/amitriptyline,amitriptyline,,(Amitid Amitril Elavil Endep),Tricyclic Antidepressants,generic,30 tablets of amitriptyline 25mg
,77,drug_info,drug_info,77,http://www.goodrx.com/reconcile,,,,,brand,1 chewable tablet of Reconcile 8mg
,78,drug_info,drug_info,78,http://www.goodrx.com/lantus,Lantus,,(insulin glargine),Insulins,brand,1 carton
,79,drug_info,drug_info,79,http://www.goodrx.com/primidone,primidone,,(Mysoline),Anti-epileptics,generic,60 tablets of primidone 50mg
,80,drug_info,drug_info,80,http://www.goodrx.com/vicodin,Vicodin,Xodol,(hydrocodone / acetaminophen),Opioid / Acetaminophen Combinations,generic,60 tablets of hydrocodone / acetaminophen 5mg/325mg
,81,drug_info,drug_info,81,http://www.goodrx.com/cinryze,Cinryze,,,C1 Inhibitors,,30 vials of Cinryze 500 units
,82,drug_info,drug_info,82,http://www.goodrx.com/glucophage,Glucophage,,(metformin),Biguanides,generic,60 tablets of metformin 500mg
,83,drug_info,drug_info,83,http://www.goodrx.com/tylenol,Tylenol,Mapap,(acetaminophen),Acetaminophens,,
,84,drug_info,drug_info,84,http://www.goodrx.com/glipizide,glipizide,,(Glucotrol),Sulfonylureas,generic,60 tablets of glipizide 5mg
,85,drug_info,drug_info,85,http://www.goodrx.com/kynamro,Kynamro,,(mipomersen),ApoB Inhibitors,,1 kit
,86,drug_info,drug_info,86,http://www.goodrx.com/trulicity,Trulicity,,(dulaglutide),GLP-1 Agonists,brand,1 carton
,87,drug_info,drug_info,87,http://www.goodrx.com/unithroid,Unithroid,,,Thyroxines,,30 tablets of Unithroid 100mcg
,88,drug_info,drug_info,88,http://www.goodrx.com/zarxio,Zarxio,,(filgrastim-sndz),Leukocyte Growth Factors,,5 syringes
,89,drug_info,drug_info,89,http://www.goodrx.com/xodol,Xodol,Vicodin,(hydrocodone / acetaminophen),Opioid / Acetaminophen Combinations,generic,60 tablets of hydrocodone / acetaminophen 5mg/325mg
,90,drug_info,drug_info,90,http://www.goodrx.com/metformin,metformin,,(Glucophage),Biguanides,generic,60 tablets of metformin 500mg
,91,drug_info,drug_info,91,http://www.goodrx.com/sertraline,sertraline,,(Zoloft),SSRIs,generic,30 tablets of sertraline 100mg
,92,drug_info,drug_info,92,http://www.goodrx.com/empagliflozin,,,(Jardiance),SGLT2 Inhibitors,brand,30 tablets of Jardiance 10mg
,93,drug_info,drug_info,93,http://www.goodrx.com/neupogen,Neupogen,,(filgrastim),Leukocyte Growth Factors,,6 syringes
,94,drug_info,drug_info,94,http://www.goodrx.com/levoxyl,Levoxyl,,,Thyroxines,,30 tablets of Levoxyl 100mcg
,95,drug_info,drug_info,95,http://www.goodrx.com/orkambi,Orkambi,,,CFTR Potentiators,brand,112 tablets of Orkambi 200mg/125mg
,96,drug_info,drug_info,96,http://www.goodrx.com/sovaldi,Sovaldi,,(sofosbuvir),Nucleotide Polymerase Inhibitors,brand,28 tablets of Sovaldi 400mg
,97,drug_info,drug_info,97,http://www.goodrx.com/targretin,Targretin,,(bexarotene),Retinoids,brand,200 capsules of Targretin 75mg
,98,drug_info,drug_info,98,http://www.goodrx.com/lipitor,Lipitor,,(atorvastatin),Statins,generic,30 tablets of atorvastatin 20mg
,99,drug_info,drug_info,99,http://www.goodrx.com/prednisone,prednisone,,(Sterapred Deltasone),Corticosteroids,generic,10 tablets of prednisone 20mg
,100,drug_info,drug_info,100,http://www.goodrx.com/firazyr,Firazyr,,(icatibant),Bradykinin Receptor Antagonists,brand,1 carton
,101,drug_info,drug_info,101,http://www.goodrx.com/onglyza,Onglyza,,(saxagliptin),Gliptins,brand,30 tablets of Onglyza 5mg
,102,drug_info,drug_info,102,http://www.goodrx.com/levemir,Levemir,,(insulin detemir),Insulins,brand,1 carton
,103,drug_info,drug_info,103,http://www.goodrx.com/synthroid,Synthroid,,,Thyroxines,,30 tablets of Synthroid 100mcg
,104,drug_info,drug_info,104,http://www.goodrx.com/victoza,Victoza,,(liraglutide),GLP-1 Agonists,brand,1 carton
,105,drug_info,drug_info,105,http://www.goodrx.com/pravachol,Pravachol,,(pravastatin),Statins,generic,30 tablets of pravastatin 40mg
,106,drug_info,drug_info,106,http://www.goodrx.com/simvastatin,simvastatin,,(Zocor),Statins,generic,30 tablets of simvastatin 20mg
,107,drug_info,drug_info,107,http://www.goodrx.com/byetta,Byetta,,,GLP-1 Agonists,,1 pen of Byetta 10mcg
,108,drug_info,drug_info,108,http://www.goodrx.com/alprazolam,alprazolam,,(Niravam Xanax),Benzodiazepines,generic,60 tablets of alprazolam 0.5mg
,109,drug_info,drug_info,109,http://www.goodrx.com/niravam,Niravam,,(alprazolam),Benzodiazepines,generic,30 orally disintegrating tabs of alprazolam 0.5mg
,110,drug_info,drug_info,110,http://www.goodrx.com/atorvastatin,atorvastatin,,(Lipitor),Statins,generic,30 tablets of atorvastatin 20mg
,111,drug_info,drug_info,111,http://www.goodrx.com/xanax,Xanax,,(alprazolam),Benzodiazepines,generic,60 tablets of alprazolam 0.5mg
,112,drug_info,drug_info,112,http://www.goodrx.com/harvoni,Harvoni,,(ledipasvir and sofosbuvir),Nucleotide Polymerase / NS5A Inhibitor Combinations,brand,28 tablets of Harvoni 90mg/400mg
,113,drug_info,drug_info,113,http://www.goodrx.com/januvia,Januvia,,(sitagliptin),Gliptins,brand,30 tablets of Januvia 100mg
,114,drug_info,drug_info,114,http://www.goodrx.com/altoprev,Altoprev,,,Statins,brand,90 tablets of Altoprev 60mg
,115,drug_info,drug_info,115,http://www.goodrx.com/micronase,Micronase,,(glyburide),Sulfonylureas,generic,60 tablets of glyburide 5mg
,116,drug_info,drug_info,116,http://www.goodrx.com/jantoven,jantoven,warfarin,(Coumadin),Anticoagulants,generic,30 tablets of jantoven 5mg
,117,drug_info,drug_info,117,http://www.goodrx.com/bydureon,Bydureon,,,GLP-1 Agonists,,1 kit
,118,drug_info,drug_info,118,http://www.goodrx.com/pravastatin,pravastatin,,(Pravachol),Statins,generic,30 tablets of pravastatin 40mg
,119,drug_info,drug_info,119,http://www.goodrx.com/coumadin,Coumadin,,(jantoven warfarin),Anticoagulants,generic,30 tablets of warfarin 5mg
,120,drug_info,drug_info,120,http://www.goodrx.com/lovastatin,lovastatin,,(Mevacor),Statins,generic,30 tablets of lovastatin 40mg
,121,drug_info,drug_info,121,http://www.goodrx.com/warfarin,warfarin,jantoven,(Coumadin),Anticoagulants,generic,30 tablets of warfarin 5mg
,122,drug_info,drug_info,122,http://www.goodrx.com/glyburide,glyburide,,(Micronase),Sulfonylureas,generic,60 tablets of glyburide 5mg
,123,drug_info,drug_info,123,http://www.goodrx.com/fluvastatin,fluvastatin,,(Lescol),Statins,generic,30 capsules of fluvastatin 40mg
,124,drug_info,drug_info,124,http://www.goodrx.com/neurontin,Neurontin,,(gabapentin),Anti-epileptics,generic,90 capsules of gabapentin 300mg
,125,drug_info,drug_info,125,http://www.goodrx.com/crestor,Crestor,,(rosuvastatin),Statins,brand,30 tablets of Crestor 10mg
,126,drug_info,drug_info,126,http://www.goodrx.com/livalo,Livalo,,(pitavastatin),Statins,brand,30 tablets of Livalo 2mg
,127,drug_info,drug_info,127,http://www.goodrx.com/truvada,Truvada,,(emtricitabine / tenofovir),HIV NRTIs,brand,30 tablets of Truvada 200mg/300mg
,128,drug_info,drug_info,128,http://www.goodrx.com/deltasone,,,(prednisone),Corticosteroids,generic,10 tablets of prednisone 20mg
,129,drug_info,drug_info,129,http://www.goodrx.com/synjardy,Synjardy,,,SGLT2 Inhibitor / Biguanide Combinations,brand,30 tablets of Synjardy 5mg/500mg
,130,drug_info,drug_info,130,http://www.goodrx.com/levothyroxine,levothyroxine,,,Thyroxines,,30 tablets of levothyroxine 50mcg
,131,drug_info,drug_info,131,http://www.goodrx.com/toujeo,Toujeo,,,Insulins,,1 carton
,132,drug_info,drug_info,132,http://www.goodrx.com/norco,Norco,Lortab,(hydrocodone / acetaminophen lorcet),Opioid / Acetaminophen Combinations,generic,60 tablets of hydrocodone / acetaminophen 5mg/325mg
,133,drug_info,drug_info,133,http://www.goodrx.com/janumet,Janumet,,,Gliptin / Biguanide Combinations,brand,60 tablets of Janumet 50mg/1000mg
,134,drug_info,drug_info,134,http://www.goodrx.com/amoxil,,,(amoxicillin),Penicillin Antibiotics,generic,30 capsules of amoxicillin 500mg
,135,drug_info,drug_info,135,http://www.goodrx.com/glucotrol,Glucotrol,,(glipizide),Sulfonylureas,generic,60 tablets of glipizide 5mg
,136,drug_info,drug_info,136,http://www.goodrx.com/sterapred,,,(prednisone),Corticosteroids,generic,1 dose pack
,137,drug_info,drug_info,137,http://www.goodrx.com/lescol,Lescol,,(fluvastatin),Statins,generic,30 capsules of fluvastatin 40mg
,138,drug_info,drug_info,138,http://www.goodrx.com/acetaminophen,acetaminophen,,(Mapap Q-Pap Tylenol Acephen),Acetaminophens,,
,139,drug_info,drug_info,139,http://www.goodrx.com/alfuzosin,alfuzosin,,(Uroxatral),Alpha Blockers,generic,30 tablets of alfuzosin 10mg
,140,drug_info,drug_info,140,http://www.goodrx.com/terazosin,terazosin,,(Hytrin),Alpha Blockers,generic,90 capsules of terazosin 5mg
,141,drug_info,drug_info,141,http://www.goodrx.com/syprine,Syprine,,(trientine),Metal Chelators,brand,150 capsules of Syprine 250mg
,142,drug_info,drug_info,142,http://www.goodrx.com/propranolol,propranolol,,(Inderal),Beta Blockers,generic,60 tablets of propranolol 20mg
,143,drug_info,drug_info,143,http://www.goodrx.com/metoprolol,metoprolol,,(Lopressor),Beta Blockers,generic,60 tablets of metoprolol 25mg
,144,drug_info,drug_info,144,http://www.goodrx.com/hydralazine,hydralazine,,(Dralzine Apresoline),Arteriolar Vasodilators,generic,90 tablets of hydralazine 25mg
,145,drug_info,drug_info,145,http://www.goodrx.com/amlodipine,amlodipine,,(Amvaz Norvasc),Calcium Channel Blockers,generic,30 tablets of amlodipine 5mg
,146,drug_info,drug_info,146,http://www.goodrx.com/benazepril,benazepril,,(Lotensin),ACE Inhibitors,generic,30 tablets of benazepril 20mg
,147,drug_info,drug_info,147,http://www.goodrx.com/atenolol,atenolol,,(Tenormin),Beta Blockers,generic,30 tablets of atenolol 50mg
,148,drug_info,drug_info,148,http://www.goodrx.com/carvedilol,carvedilol,,(Coreg),Nonselective Alpha/Beta Blockers,generic,60 tablets of carvedilol 25mg
,149,drug_info,drug_info,149,http://www.goodrx.com/enalapril,enalapril,,(Vasotec),ACE Inhibitors,generic,30 tablets of enalapril 20mg
,150,drug_info,drug_info,150,http://www.goodrx.com/clonidine,clonidine,,(Catapres Catapres-Tts),Central Alpha Agonists,generic,60 tablets of clonidine 0.1mg
,151,drug_info,drug_info,151,http://www.goodrx.com/norvasc,Norvasc,,(amlodipine),Calcium Channel Blockers,generic,30 tablets of amlodipine 5mg
,152,drug_info,drug_info,152,http://www.goodrx.com/spironolactone,spironolactone,,(Aldactone),Aldosterone Antagonists,generic,30 tablets of spironolactone 25mg
,153,drug_info,drug_info,153,http://www.goodrx.com/dyazide,Dyazide,,(triamterene / HCTZ),Thiazide / Potassium-Sparing Diuretic Combinations,generic,30 capsules of triamterene / HCTZ 37.5mg/25mg
,154,drug_info,drug_info,154,http://www.goodrx.com/edecrin,Edecrin,,(ethacrynic acid),Loop Diuretics,brand,30 tablets of Edecrin 25mg
,155,drug_info,drug_info,155,http://www.goodrx.com/kenalog,Kenalog,,(triamcinolone),Corticosteroids,,1 tube
,156,drug_info,drug_info,156,http://www.goodrx.com/furosemide,furosemide,,(Lasix),Loop Diuretics,generic,30 tablets of furosemide 20mg
,157,drug_info,drug_info,157,http://www.goodrx.com/prelone,,,(prednisolone),Corticosteroids,,25 ml 15mg/5ml of prednisolone syrup
,158,drug_info,drug_info,158,http://www.goodrx.com/demadex,Demadex,,(torsemide),Loop Diuretics,generic,30 tablets of torsemide 20mg
,159,drug_info,drug_info,159,http://www.goodrx.com/medrol,Medrol,,(methylprednisolone),Corticosteroids,generic,21 tablets of methylprednisolone 4mg
,160,drug_info,drug_info,160,http://www.goodrx.com/dyrenium,Dyrenium,,,Potassium-Sparing Diuretics,brand,30 capsules of Dyrenium 50mg
,161,drug_info,drug_info,161,http://www.goodrx.com/diuril,Diuril,,(chlorothiazide),Thiazide Diuretics,,237 ml 250mg/5ml of Diuril oral suspension
,162,drug_info,drug_info,162,http://www.goodrx.com/bumex,,,(bumetanide),Loop Diuretics,generic,30 tablets of bumetanide 1mg
,163,drug_info,drug_info,163,http://www.goodrx.com/moduretic,,,(amiloride / HCTZ),Thiazide / Potassium-Sparing Diuretic Combinations,generic,30 tablets of amiloride / HCTZ 5mg/50mg
,164,drug_info,drug_info,164,http://www.goodrx.com/pediapred,Pediapred,,(prednisolone sodium phosphate),Corticosteroids,,50 ml 15mg/5ml of prednisolone sodium phosphate oral solution
,165,drug_info,drug_info,165,http://www.goodrx.com/cortef,Cortef,,(hydrocortisone),Corticosteroids,,1 jar
,166,drug_info,drug_info,166,http://www.goodrx.com/hygroton,,,(chlorthalidone),Thiazide-Like Diuretics,generic,30 tablets of chlorthalidone 25mg
,167,drug_info,drug_info,167,http://www.goodrx.com/decadron,,,(dexamethasone),Corticosteroids,generic,60 tablets of dexamethasone 4mg
,168,drug_info,drug_info,168,http://www.goodrx.com/zaroxolyn,Zaroxolyn,,(metolazone),Thiazide-Like Diuretics,generic,30 tablets of metolazone 2.5mg
,169,drug_info,drug_info,169,http://www.goodrx.com/diamox,,,(acetazolamide),Carbonic Anhydrase Inhibitors,generic,120 tablets of acetazolamide 250mg
,170,drug_info,drug_info,170,http://www.goodrx.com/microzide,Microzide,,(hydrochlorothiazide),Thiazide Diuretics,generic,30 capsules of hydrochlorothiazide 12.5mg
,171,drug_info,drug_info,171,http://www.goodrx.com/calan,Calan,,(verapamil),Calcium Channel Blockers,generic,90 tablets of verapamil 80mg
,172,drug_info,drug_info,172,http://www.goodrx.com/valsartan,valsartan,,(Diovan),ARBs,generic,30 tablets of valsartan 160mg
,173,drug_info,drug_info,173,http://www.goodrx.com/tranxene,Tranxene,,(clorazepate),Benzodiazepines,generic,60 tablets of clorazepate 7.5mg
,174,drug_info,drug_info,174,http://www.goodrx.com/promapar,,,(chlorpromazine),Typical Antipsychotics,generic,60 tablets of chlorpromazine 25mg
,175,drug_info,drug_info,175,http://www.goodrx.com/doxepin,doxepin,,(Sinequan),Tricyclic Antidepressants,generic,30 capsules of doxepin 10mg
,176,drug_info,drug_info,176,http://www.goodrx.com/buspar,,,(buspirone),Azapirones,generic,60 tablets of buspirone 10mg
,177,drug_info,drug_info,177,http://www.goodrx.com/ativan,Ativan,,(lorazepam),Benzodiazepines,generic,60 tablets of lorazepam 1mg
,178,drug_info,drug_info,178,http://www.goodrx.com/triavil,,,(perphenazine / amitriptyline),Typical Antipsychotic / Tricyclic Antidepressant Combinations,generic,90 tablets of perphenazine / amitriptyline 2mg/25mg
,179,drug_info,drug_info,179,http://www.goodrx.com/vistaril,Vistaril,,(hydroxyzine pamoate),Antihistamines,generic,90 capsules of hydroxyzine pamoate 25mg
,180,drug_info,drug_info,180,http://www.goodrx.com/stelazine,,,(trifluoperazine),Typical Antipsychotics,generic,60 tablets of trifluoperazine 2mg
,181,drug_info,drug_info,181,http://www.goodrx.com/miltown,,,(meprobamate),Muscle Relaxants,generic,60 tablets of meprobamate 400mg
,182,drug_info,drug_info,182,http://www.goodrx.com/zaxopam,,,(oxazepam),Benzodiazepines,generic,90 capsules of oxazepam 10mg
,183,drug_info,drug_info,183,http://www.goodrx.com/librium,,,(chlordiazepoxide),Benzodiazepines,generic,60 capsules of chlordiazepoxide 25mg
,184,drug_info,drug_info,184,http://www.goodrx.com/compazine,Compro,,(prochlorperazine),Typical Antipsychotics,generic,30 tablets of prochlorperazine 10mg
,185,drug_info,drug_info,185,http://www.goodrx.com/valium,Valium,,(diazepam),Benzodiazepines,generic,60 tablets of diazepam 5mg
,186,drug_info,drug_info,186,http://www.goodrx.com/addyi,Addyi,,(flibanserin),MSAAs,brand,30 tablets of Addyi 100mg
,187,drug_info,drug_info,187,http://www.goodrx.com/paroxetine,paroxetine,,(Paxil),SSRIs,generic,30 tablets of paroxetine 20mg
,188,drug_info,drug_info,188,http://www.goodrx.com/selfemra,selfemra,,,SSRIs,generic,30 tablets of selfemra 15mg
,189,drug_info,drug_info,189,http://www.goodrx.com/sarafem,Sarafem,,,SSRIs,,1 dose pack
,190,drug_info,drug_info,190,http://www.goodrx.com/brisdelle,Brisdelle,,,SSRIs,brand,1 package
,191,drug_info,drug_info,191,http://www.goodrx.com/viagra,Viagra,,,PDE5 Inhibitors,brand,10 tablets of Viagra 100mg
